[TRACE] 2015-08-07 16:39:21,177 Thread:1 --- 309;商品规格未填写;2015-08-07 16:39:21;2015-08-07 16:39:21;1;false;false
[TRACE] 2015-08-07 16:39:21,289 Thread:1 --- 310;申报单位未填写;2015-08-07 16:39:21;2015-08-07 16:39:21;0;false;false
[TRACE] 2015-08-07 16:39:21,454 Thread:1 --- 311;申报数量未填写;2015-08-07 16:39:21;2015-08-07 16:39:21;0;false;false
[TRACE] 2015-08-07 16:39:21,572 Thread:1 --- 312;法定单位未填写;2015-08-07 16:39:21;2015-08-07 16:39:21;1;false;false
[TRACE] 2015-08-07 16:39:21,688 Thread:1 --- 313;法定数量未填写;2015-08-07 16:39:21;2015-08-07 16:39:21;0;false;false
[TRACE] 2015-08-07 16:39:21,811 Thread:1 --- 314;修改标志未填写;2015-08-07 16:39:21;2015-08-07 16:39:21;0;false;false
[TRACE] 2015-08-07 16:39:22,592 Thread:1 --- 319;修改标志合法性检查;2015-08-07 16:39:22;2015-08-07 16:39:22;1;false;false
[TRACE] 2015-08-07 16:39:22,712 Thread:1 --- 320;申报数量合法性检查;2015-08-07 16:39:22;2015-08-07 16:39:22;4;false;false
[TRACE] 2015-08-07 16:39:23,202 Thread:1 --- 323;申报表申报商品序号与海关正式库序号重复检查;2015-08-07 16:39:23;2015-08-07 16:39:23;3;false;false
[TRACE] 2015-08-07 16:39:24,807 Thread:1 --- 325;帐册中是否存在对应的商品序号;2015-08-07 16:39:24;2015-08-07 16:39:24;151;false;false
[TRACE] 2015-08-07 16:39:25,101 Thread:1 --- 326;商品编码是否与帐册一致;2015-08-07 16:39:25;2015-08-07 16:39:25;76;false;false
[TRACE] 2015-08-07 16:39:25,324 Thread:1 --- 327;商品名称是否与帐册一致;2015-08-07 16:39:25;2015-08-07 16:39:25;45;true;false
[TRACE] 2015-08-07 16:39:25,544 Thread:1 --- 328;规格型号是否与帐册一致;2015-08-07 16:39:25;2015-08-07 16:39:25;43;true;false
[TRACE] 2015-08-07 16:39:25,736 Thread:1 --- 329;申报单位是否与帐册一致;2015-08-07 16:39:25;2015-08-07 16:39:25;32;true;false
[TRACE] 2015-08-07 16:39:25,900 Thread:1 --- 330;商品是否暂停进出口;2015-08-07 16:39:25;2015-08-07 16:39:25;35;true;false
[TRACE] 2015-08-07 16:39:26,326 Thread:1 --- 333;申请表表体帐册项号重复;2015-08-07 16:39:26;2015-08-07 16:39:26;0;true;false
[TRACE] 2015-08-07 16:39:26,452 Thread:1 --- 334;申请表变更时表体帐册项号与备案帐册项号重复;2015-08-07 16:39:26;2015-08-07 16:39:26;1;false;false
[TRACE] 2015-08-07 16:39:26,830 Thread:1 --- 337;转入帐册编号不能变更;2015-08-07 16:39:26;2015-08-07 16:39:26;1;false;false
[TRACE] 2015-08-07 16:39:26,948 Thread:1 --- 338;转入企业内部编号不能变更;2015-08-07 16:39:26;2015-08-07 16:39:26;0;false;false
[TRACE] 2015-08-07 16:39:27,070 Thread:1 --- 339;转入地海关不能变更;2015-08-07 16:39:27;2015-08-07 16:39:27;0;false;false
[TRACE] 2015-08-07 16:39:27,195 Thread:1 --- 340;转入企业代码不能变更;2015-08-07 16:39:27;2015-08-07 16:39:27;0;false;false
[TRACE] 2015-08-07 16:39:27,348 Thread:1 --- 341;转入企业名称不能变更;2015-08-07 16:39:27;2015-08-07 16:39:27;0;false;false
[TRACE] 2015-08-07 16:39:27,486 Thread:1 --- 342;转入申报企业代码不能变更;2015-08-07 16:39:27;2015-08-07 16:39:27;1;false;false
[TRACE] 2015-08-07 16:39:27,617 Thread:1 --- 343;转入申报企业名称不能变更;2015-08-07 16:39:27;2015-08-07 16:39:27;0;false;false
[TRACE] 2015-08-07 16:39:27,742 Thread:1 --- 344;转入企业法人不能变更;2015-08-07 16:39:27;2015-08-07 16:39:27;0;false;false
[TRACE] 2015-08-07 16:39:27,867 Thread:1 --- 345;转入申报人不能变更;2015-08-07 16:39:27;2015-08-07 16:39:27;0;false;false
[TRACE] 2015-08-07 16:39:28,004 Thread:1 --- 346;转入地区代码不能变更;2015-08-07 16:39:28;2015-08-07 16:39:28;1;false;false
[TRACE] 2015-08-07 16:39:28,130 Thread:1 --- 347;转入地企业备注不能变更;2015-08-07 16:39:28;2015-08-07 16:39:28;0;false;false
